4685,4684,1
4687,4686,1
468E,2345,2
46X5,XE8,5
46XE,2355,2
46EE,235E,2
4707,4706,1
4711,471,10
4715,4714,1
4725,4724,1
4727,4726,1
4737,1652,3
4761,11X6,4
4775,4774,1
4777,1666,3
4781,11E0,4
479E,23XE,2
47E1,23E6,2
47E7,47E6,1
4805,4804,1
4815,4814,1
481E,240E,2
4821,1206,4
4825,4824,1
4831,1209,4
483E,241E,2
4845,4844,1
484E,2425,2
486E,2435,2
4881,2440,2
4887,4886,1
488E,2445,2
4897,16E2,3
48X7,63X,9
4901,32,160
490E,2465,2
4911,1233,4
491E,246E,2
4921,719,8
4925,4924,1
492E,2475,2
4947,646,9
4951,1243,4
4955,4954,1
4967,4966,1
496E,591,X
4971,497,10
4975,4974,1
4987,4986,1
4991,1253,4
49X1,24E0,2
4X01,2500,2
4X0E,2505,2
4X15,4X14,1
4X21,984,6
4X2E,2515,2
4X31,1269,4
4X57,E6,51
4X5E,252E,2
4X65,4X64,1
4X67,4X66,1
4X77,662,9
4X7E,253E,2
4X91,1283,4
4X97,4X96,1
4E05,4E04,1
4E15,4E14,1
4E21,4E2,10
4E27,206,25
4E35,4E34,1
4E37,1792,3
4E3E,257E,2
4E57,179X,3
4E65,4E64,1
4E71,2E9,18
4E85,4E84,1
4E87,17XX,3
4E95,4E94,1
4EX7,17E6,3
4EXE,25E5,2
4EE1,12E9,4
5001,760,8
5007,1802,3
501E,260E,2
5025,5024,1
5031,2616,2
5035,874,7
5041,X08,6
5045,158,35
504E,2625,2
5057,181X,3
5061,2630,2
5067,5066,1
5077,1826,3
5081,1320,4
5085,1018,5
508E,2645,2
5095,5094,1
50X1,2650,2
50E7,183X,3
50EE,265E,2
5117,5116,1
511E,197,2X
512E,2675,2
5131,1339,4
513E,617,X
5145,5144,1
5147,1856,3
5155,5154,1
5165,1038,5
5167,5166,1
516E,2695,2
5187,5186,1
5191,519,10
51E7,187X,3
5201,79,80
5205,5204,1
5211,1363,4
521E,270E,2
522E,2715,2
5235,5234,1
5237,1892,3
525E,272E,2
5261,2730,2
5267,5266,1
526E,2735,2
5271,2736,2
5285,5284,1
5295,5294,1
5297,5296,1
52X1,X58,6
52XE,2755,2
52E7,52E6,1
5317,702,9
5327,5326,1
5331,533,10
5347,5346,1
5351,2786,2
5355,5354,1
5367,5366,1
5371,13X9,4
5375,1088,5
5385,5384,1
5391,323,18
5397,5396,1
53X7,53X6,1
53XE,27E5,2
53E5,53E4,1
5405,5404,1
540E,2805,2
541E,280E,2
5421,803,8
5435,5434,1
5451,X8X,6
5455,5454,1
5457,5456,1
5465,5464,1
547E,283E,2
5487,5486,1
548E,2845,2
54X1,54X,10
54X5,54X4,1
54X7,54X6,1
54E1,54E,10
550E,2865,2
5515,5514,1
5527,198X,3
5531,1439,4
5537,5536,1
5545,5544,1
554E,2885,2
5551,2886,2
555E,288E,2
5561,2890,2
5565,5564,1
5567,19X2,3
5585,5584,1
5587,5586,1
558E,28X5,2
5595,5594,1
559E,28XE,2
55XE,28E5,2
55E5,55E4,1
5607,5606,1
5615,5614,1
5625,5624,1
562E,2915,2
5637,5636,1
563E,291E,2
566E,2935,2
5681,840,8
5691,2946,2
5697,5696,1
569E,294E,2
56X5,56X4,1
56X7,1146,5
56E7,1X3X,3
5701,2960,2
5711,E22,6
5725,5724,1
5727,5726,1
5735,5734,1
5741,E28,6
575E,298E,2
5761,2990,2
5771,14X9,4
5777,5776,1
577E,299E,2
5785,5784,1
579E,29XE,2
57X1,E38,6
57E1,13,464
57E7,57E6,1
57EE,29EE,2
580E,275,22
5817,5816,1
5821,E44,6
5831,396,16
5835,5834,1
583E,2X1E,2
584E,2X25,2
5855,5854,1
5857,5856,1
5867,1186,5
5877,1XX6,3
587E,2X3E,2
5891,2X46,2
5897,1XE2,3
58XE,2X55,2
58E5,58E4,1
58E7,1XEX,3
5905,1198,5
5911,1533,4
5927,1E0X,3
5931,3X2,16
595E,2X8E,2
5961,2X90,2
5985,5984,1
5987,9E6,7
59X5,59X4,1
59XE,2XE5,2
59E1,2XE6,2
59EE,2XEE,2
5X0E,2E05,2
5X11,2E06,2
5X17,796,9
5X1E,2E0E,2
5X27,5X26,1
5X45,5X44,1
5X4E,2E25,2
5X51,5X5,10
5X5E,2E2E,2
5X67,5X66,1
5X6E,2E35,2
5X75,5X74,1
5X81,1580,4
5X85,5X84,1
5X95,5X94,1
5XXE,2E55,2
5XEE,2E5E,2
5E17,7XX,9
5E1E,2E6E,2
5E25,5E24,1
5E2E,2E75,2
5E37,5E36,1
5E3E,2E7E,2
5E41,2E80,2
5E55,5E54,1
5E65,1238,5
5E67,5E66,1
5E75,5E74,1
5E81,196,34
5E8E,2EX5,2
5E91,2EX6,2
5E95,5E94,1
5E9E,2EXE,2
5EE1,2EE6,2
6001,3000,2
601E,300E,2
6027,6026,1
604E,3025,2
6051,605,10
6055,6054,1
6071,1619,4
6075,6074,1
6077,6076,1
607E,303E,2
6091,3046,2
609E,304E,2
60XE,3055,2
60E1,1629,4
6101,1630,4
6115,6114,1
6117,6116,1
613E,307E,2
6147,6146,1
6165,6164,1
6171,617,10
6175,6174,1
617E,309E,2
6185,6184,1
6197,22X,29
619E,30XE,2
61X7,61X6,1
61E7,207X,3
6201,3100,2
6207,6206,1
620E,3105,2
6227,6226,1
622E,3115,2
6245,6244,1
6247,6246,1
6257,209X,3
6261,3130,2
6265,6264,1
626E,3135,2
6281,120,54
6297,6296,1
62X5,62X4,1
62E1,62E,10
62EE,315E,2
6327,6326,1
6331,633,10
633E,317E,2
6345,6344,1
634E,3185,2
6351,106X,6
6357,6356,1
636E,3195,2
6375,6374,1
6377,6376,1
6387,336,1E
6391,213,30
63E5,63E4,1
63E7,63E6,1
6405,XX4,7
6411,1082,6
6425,6424,1
642E,357,1X
6437,6436,1
6441,3220,2
644E,3225,2
646E,105,62
6487,6486,1
6495,6494,1
6497,2172,3
64X5,64X4,1
64X7,2176,3
64E7,64E6,1
64EE,325E,2
6505,6504,1
6521,327,20
6525,6524,1
6527,6526,1
6537,226,2E
6551,10XX,6
655E,565,12
6561,3290,2
656E,3295,2
6571,657,10
6575,6574,1
6591,1753,4
65X5,65X4,1
6607,6606,1
660E,56E,12
6617,1376,5
6621,3310,2
6625,1378,5
6635,6634,1
663E,331E,2
6647,416,17
6657,6656,1
6667,52X,13
6671,3336,2
6675,6674,1
6681,1780,4
669E,334E,2
66X1,3350,2
66E5,66E4,1
6707,E36,7
6715,6714,1
671E,336E,2
672E,57E,12
673E,337E,2
6751,3386,2
6757,6756,1
675E,338E,2
6777,616,11
677E,339E,2
678E,33X5,2
6795,6794,1
6797,6796,1
67X1,17E6,4
67X7,2276,3
67EE,33EE,2
6807,6806,1
6825,6824,1
6827,542,13
684E,3425,2
6857,6856,1
6861,X09,8
6865,6864,1
6881,506,14
6885,6884,1
6895,6894,1
68E5,68E4,1
6911,3466,2
6915,6914,1
6921,347,20
692E,3475,2
6931,1166,6
6945,6944,1
6947,6946,1
6957,6956,1
6967,2322,3
6995,6994,1
6997,6996,1
699E,34XE,2
69X5,69X4,1
69E5,69E4,1
69EE,34EE,2
6X05,6X04,1
6X11,1863,4
6X17,6X16,1
6X1E,350E,2
6X21,X33,8
6X27,234X,3
6X47,6X46,1
6X4E,3525,2
6X67,2362,3
6X75,6X74,1
6X7E,353E,2
6X85,6X84,1
6X97,2372,3
6X9E,354E,2
6XX5,6XX4,1
6XXE,3555,2
6XE1,147,50
6E01,523,14
6E07,6E06,1
6E15,6E14,1
6E17,2386,3
6E25,6E24,1
6E2E,3575,2
6E47,2396,3
6E4E,3585,2
6E71,3596,2
6E75,1E4,37
6E77,6E76,1
6E81,35X0,2
6E9E,847,X
6EX1,X59,8
7001,1900,4
7005,7004,1
700E,3605,2
7011,3606,2
7015,7014,1
701E,360E,2
703E,361E,2
7045,7044,1
7051,3626,2
7055,7054,1
7057,241X,3
7085,7084,1
708E,3645,2
7097,7096,1
70XE,3655,2
70EE,365E,2
7101,1930,4
