3E1,6,2
3E2,3,3
3E3,4,4
3E4,1,6
3E5,10,6
3E6,1,1
3E7,X,8
3E8,5,1
3E9,4,8
3EX,3,3
3EE,2,6
400,1,2
401,4,2
402,6,1
403,X,10
404,3,8
405,2,10
406,3,2
407,4,8
408,3,X
409,2,4
40X,1,2
40E,12,4
410,6,1
411,4,6
412,2,6
413,6,2
414,1,10
415,2,4
416,3,1
417,4,8
418,2,3
419,4,2
41X,1,8
41E,8,6
420,1,1
421,6,2
422,5,1
423,10,4
424,4,3
425,6,14
426,1,4
427,6,2
428,2,1
429,4,2
42X,3,5
42E,2,10
430,1,2
431,X,6
432,2,1
433,2,2
434,1,2
435,8,4
436,1,1
437,4,2
438,3,1
439,6,8
43X,3,5
43E,6,X
440,2,3
441,16,2
442,3,3
443,X,6
444,6,6
445,2,10
446,1,2
447,X,18
448,6,1
449,12,4
44X,11,3
44E,8,4
450,5,3
451,4,6
452,2,3
453,2,2
454,1,2
455,2,10
456,1,1
457,10,12
458,2,1
459,2,2
45X,1,2
45E,12,6
460,2,1
461,X,2
462,2,3
463,2,2
464,1,2
465,2,6
466,4,1
467,4,6
468,10,7
469,6,X
46X,1,3
46E,2,10
470,1,1
471,6,2
472,3,1
473,2,8
474,3,2
475,12,4
476,3,3
477,6,6
478,E,3
479,4,6
47X,3,6
47E,6,4
480,1,4
481,4,12
482,5,1
483,6,4
484,1,3
485,8,4
486,4,1
487,X,6
488,2,3
489,8,2
48X,1,6
48E,2,4
490,3,1
491,4,8
492,2,7
493,4,2
494,4,3
495,10,6
496,1,3
497,X,2
498,5,1
499,6,6
49X,3,3
49E,16,X
4X0,3,3
4X1,4,10
4X2,5,4
4X3,2,8
4X4,1,2
4X5,16,4
4X6,5,1
4X7,6,6
4X8,2,3
4X9,6,2
4XX,7,5
4XE,6,6
4E0,1,5
4E1,4,6
4E2,3,1
4E3,2,4
4E4,3,2
4E5,2,4
4E6,2,2
4E7,4,2
4E8,2,7
4E9,8,2
4EX,1,3
4EE,2,10
500,3,1
501,6,12
502,13,4
503,2,6
504,4,2
505,2,6
506,1,2
507,4,2
508,9,1
509,2,6
50X,9,2
50E,8,X
510,1,4
511,X,6
512,3,1
513,2,4
514,7,2
515,6,6
516,1,3
517,4,10
518,2,1
519,2,2
51X,1,2
51E,2,4
520,2,1
521,X,2
522,2,3
523,6,2
524,7,3
525,2,6
526,1,2
527,6,8
528,5,1
529,6,4
52X,7,5
52E,2,4
530,1,2
531,14,12
532,6,1
533,4,X
534,1,8
535,2,16
536,3,1
537,10,18
538,3,6
539,2,X
53X,6,2
53E,6,4
540,1,8
541,X,8
542,3,1
543,2,4
544,1,2
545,6,6
546,2,1
547,6,2
548,2,7
549,4,2
54X,10,3
54E,2,6
550,3,2
551,14,8
552,3,6
553,2,8
554,4,2
555,2,10
556,1,2
557,6,6
558,6,1
559,2,6
55X,3,2
55E,2,4
560,3,2
561,6,8
562,3,3
563,4,8
564,1,8
565,6,4
566,2,1
567,1X,2
568,2,3
569,X,2
56X,4,E
56E,2,6
570,2,2
571,4,2
572,2,3
573,4,2
574,1,3
575,2,X
576,1,1
577,X,2
578,3,1
579,2,4
57X,4,2
57E,8,4
580,8,3
581,6,10
582,2,4
583,8,2
584,1,3
585,8,X
586,1,1
587,X,6
588,3,1
589,4,4
58X,1,3
58E,12,4
590,1,1
591,X,2
592,12,1
593,2,4
594,4,2
595,2,4
596,2,2
597,6,2
598,8,4
599,6,4
59X,1,8
59E,10,X
5X0,3,1
5X1,10,10
5X2,5,6
5X3,4,4
5X4,11,3
5X5,8,10
5X6,2,5
5X7,4,2
5X8,2,3
5X9,2,2
5XX,3,2
5XE,6,10
5E0,1,4
5E1,4,8
5E2,2,1
5E3,8,2
5E4,1,9
5E5,8,14
5E6,1,1
5E7,1X,6
5E8,2,1
5E9,2,2
5EX,1,2
5EE,6,X
600,3,1
601,4,6
602,2,4
603,4,2
604,6,5
605,10,X
606,2,3
607,6,2
608,3,6
609,2,4
60X,9,2
60E,8,4
610,1,7
611,14,2
612,5,1
613,2,6
614,1,2
615,16,1X
616,1,1
617,4,6
618,5,1
619,4,4
61X,1,3
61E,6,4
620,2,1
621,4,2
622,3,4
623,2,8
624,3,2
625,2,4
626,2,2
627,4,2
628,3,3
629,8,6
62X,4,3
62E,8,6
630,2,3
631,6,2
632,3,4
633,4,6
634,3,3
635,2,X
636,1,2
637,6,6
638,6,1
639,4,14
63X,1,3
63E,2,4
640,5,1
641,6,6
642,13,3
643,2,4
644,3,2
645,6,6
646,1,3
647,4,8
648,6,1
649,6,X
64X,3,6
64E,2,4
650,4,2
651,4,16
652,6,3
653,4,14
654,1,5
655,8,6
656,2,1
657,X,2
658,3,4
659,2,20
65X,3,2
65E,2,4
660,1,2
661,6,2
662,2,1
663,2,2
664,1,2
665,6,16
666,4,1
667,6,6
668,2,7
669,8,2
66X,1,3
66E,6,20
670,4,1
671,4,6
672,2,10
673,X,2
674,1,5
675,2,6
676,7,1
677,4,8
678,2,4
679,6,2
67X,4,5
67E,8,36
680,5,3
681,14,8
682,3,4
683,4,4
684,9,6
685,2,X
686,1,2
687,14,2
688,9,1
689,4,6
68X,1,3
68E,6,16
690,3,1
691,6,30
692,2,6
693,2,2
694,1,2
695,8,4
696,6,1
697,4,22
698,6,3
699,X,4
69X,1,5
69E,12,4
6X0,3,1
6X1,X,8
6X2,2,3
6X3,6,2
6X4,7,3
6X5,2,10
6X6,1,2
6X7,16,8
6X8,6,1
6X9,2,X
6XX,7,2
6XE,10,X
6E0,1,7
6E1,4,2
6E2,2,1
6E3,2,2
6E4,3,2
6E5,2,4
6E6,5,2
6E7,4,20
6E8,5,3
6E9,2,4
6EX,3,2
6EE,6,4
700,1,3
701,X,2
702,5,1
703,6,8
704,1,5
705,2,4
706,2,1
707,6,2
708,3,X
709,14,6
70X,1,9
70E,2,6
710,1,1
711,X,8
712,3,1
713,4,4
714,10,5
715,6,4
716,2,X
717,6,2
718,15,3
719,8,6
71X,1,3
71E,2,24
720,1,1
721,4,6
722,2,1
723,6,2
724,3,5
725,8,6
726,1,5
727,4,8
728,2,1
729,2,2
72X,14,2
72E,2,6
730,2,2
731,6,2
732,5,3
733,8,12
734,1,6
735,2,26
736,1,1
737,10,10
738,5,1
739,X,4
73X,3,6
73E,2,4
740,2,2
741,4,2
742,10,4
743,12,6
744,1,6
745,6,4
746,1,1
747,4,38
748,2,1
749,2,2
74X,6,2
74E,8,1X
750,1,3
751,X,2
752,2,1
753,2,2
754,3,2
755,26,X
756,4,3
757,6,6
758,2,10
759,X,2
75X,6,8
75E,12,6
760,2,5
761,10,2
762,9,4
763,X,8
764,3,3
765,8,4
766,1,3
767,4,6
768,5,1
769,2,X
76X,1,2
76E,6,4
770,1,1
