1,2,1
612,3E4E,2
613,3E51,4
614,3E55,8
615,3E61,14
616,3E75,6
617,3E7E,6
618,3E85,2
619,3E87,10
61X,3E97,14
61E,3EXE,8
620,3EE7,4
621,3EEE,6
622,4005,26
623,402E,2
624,4031,X
625,403E,2
626,4041,6
627,4047,4
628,404E,6
629,4055,6
62X,405E,8
62E,4067,6
630,4071,4
631,4075,10
632,4085,6
633,408E,8
634,4097,10
635,40X7,4
636,40XE,12
637,4101,10
638,4111,X
639,411E,20
63X,413E,6
63E,4145,10
640,4155,6
641,415E,2
642,4161,1X
643,417E,8
644,4187,16
645,41X1,X
646,41XE,6
647,41E5,12
648,4207,4
649,420E,2
64X,4211,6
64E,4217,X
650,4225,8
651,4231,6
652,4237,4
653,423E,6
654,4245,26
655,426E,12
656,4281,X
657,428E,2
658,4291,10
659,42X1,X
65X,42XE,2
65E,42E1,14
660,4305,2
661,4307,16
662,4321,20
663,4341,16
664,4357,6
665,4361,14
666,4375,16
667,438E,6
668,4395,2
669,4397,16
66X,43E1,4
66E,43E5,6
670,43EE,2
671,4401,X
672,440E,8
673,4417,X
674,4425,6
675,442E,6
676,4435,8
677,4441,4
678,4445,6
679,444E,2
67X,4451,X
67E,445E,2
680,4461,10
681,4471,4
682,4475,6
683,447E,6
684,4485,2
685,4487,10
686,4497,4
687,449E,12
688,44E1,16
689,4507,4
68X,450E,6
68E,4515,18
690,4531,4
691,4535,8
692,4541,6
693,4547,4
694,454E,8
695,4557,4
696,455E,12
697,4571,6
698,4577,4
699,457E,12
69X,4591,10
69E,45X1,4
6X0,45X5,2
6X1,45X7,26
6X2,4611,4
6X3,4615,20
6X4,4635,6
6X5,463E,6
6X6,4645,10
6X7,4655,10
6X8,4665,12
6X9,4677,6
6XX,4681,4
6XE,4685,2
6E0,4687,4
6E1,468E,16
6E2,46X5,6
6E3,46XE,10
6E4,46EE,8
6E5,4707,6
6E6,4711,4
6E7,4715,10
6E8,4725,2
6E9,4727,10
