[27, 46]: 2
[2E, 46]: 3
[31, 46]: 6
[35, 46]: 1
[37, 46]: 2
[3E, 46]: 1
[41, 46]: 2
[45, 46]: 9
[1, 47]: 18
[2, 47]: 1
[3, 47]: 1
[4, 47]: 2
[6, 47]: 1
[7, 47]: 1
[8, 47]: 1
[9, 47]: 2
[10, 47]: 5
[11, 47]: 1
[12, 47]: 2
[14, 47]: 4
[15, 47]: 1
[16, 47]: 1
[17, 47]: 1
[19, 47]: 5
[1E, 47]: 5
[20, 47]: 1
[22, 47]: 4
[23, 47]: 1
[24, 47]: 1
[25, 47]: 1
[27, 47]: 4
[28, 47]: 5
[2X, 47]: X
[30, 47]: 4
[31, 47]: 1
[32, 47]: 1
[33, 47]: 1
[35, 47]: 1
[36, 47]: 1
[37, 47]: 5
[3X, 47]: 1
[3E, 47]: 1
[40, 47]: 1
[41, 47]: 2
[43, 47]: 1
[44, 47]: 1
[45, 47]: 1
[46, 47]: 5
[1, 48]: 6
[3, 48]: 1
[5, 48]: 1
[9, 48]: 2
[E, 48]: 1
[11, 48]: 3
[13, 48]: 3
[15, 48]: 1
[17, 48]: 1
[1E, 48]: 1
[21, 48]: 2
[23, 48]: 3
[25, 48]: 3
[27, 48]: 1
[29, 48]: 1
[31, 48]: 1
[33, 48]: 1
[35, 48]: 3
[37, 48]: 3
[39, 48]: 1
[3E, 48]: 1
[43, 48]: 1
[45, 48]: 1
[47, 48]: 3
[1, 49]: 16
[2, 49]: 1
[4, 49]: 2
[5, 49]: 1
[7, 49]: 6
[8, 49]: 3
[X, 49]: 1
[E, 49]: 3
[11, 49]: 1
[12, 49]: 1
[14, 49]: 2
[15, 49]: 1
[18, 49]: 9
[1X, 49]: 1
[1E, 49]: 1
[21, 49]: 2
[22, 49]: 3
[24, 49]: 2
[25, 49]: 1
[27, 49]: 3
[28, 49]: 1
[2X, 49]: 1
[2E, 49]: 1
[31, 49]: 9
[34, 49]: 1
[35, 49]: 1
[37, 49]: 2
[38, 49]: 1
[3X, 49]: 3
[3E, 49]: 1
[41, 49]: 6
[42, 49]: 3
[44, 49]: 1
[45, 49]: 1
[47, 49]: 2
[48, 49]: 9
[1, 4X]: 24
[3, 4X]: 1
[5, 4X]: 2
[7, 4X]: 4
[9, 4X]: 2
[E, 4X]: 1
[11, 4X]: 2
[13, 4X]: 1
[15, 4X]: 7
[17, 4X]: 1
[19, 4X]: 1
[1E, 4X]: 4
[21, 4X]: 4
[23, 4X]: 1
[27, 4X]: 1
[29, 4X]: 2
[2E, 4X]: 2
[31, 4X]: 1
[33, 4X]: 1
[35, 4X]: 7
[37, 4X]: 1
[39, 4X]: 4
[3E, 4X]: 1
[41, 4X]: 4
[43, 4X]: 2
[45, 4X]: 4
[47, 4X]: 1
[49, 4X]: 12
[1, 4E]: 4X
[2, 4E]: 1
[3, 4E]: 2
[4, 4E]: 2
[5, 4E]: 2
[6, 4E]: 1
[7, 4E]: 2
[8, 4E]: 1
[9, 4E]: 2
[X, 4E]: 1
[E, 4E]: 1
