Recognized ABC Sieve file:
ABC File
Switching to Exponentiating using GMP
(394^1128+1)^2-2 is composite: RES64: [55874AF650084B73] (2.8757s+0.1613s)
(394^1128-1)^2-2 is composite: RES64: [A6C4236229D1FB4B] (3.0612s+0.1885s)
(394^1129-1)^2-2 is composite: RES64: [E3040C20FB67843B] (2.5903s+0.3237s)
(394^1130+1)^2-2 is composite: RES64: [0548F0C826D48808] (2.4061s+0.0643s)
(394^1131+1)^2-2 is composite: RES64: [03565D6F7A2F14C4] (2.6609s+0.0721s)
(394^1133+1)^2-2 is composite: RES64: [0EEDF5ACD7B18A35] (2.7704s+0.0643s)
(394^1140+1)^2-2 is composite: RES64: [090F77652563C39E] (2.9178s+0.0451s)
(394^1152+1)^2-2 is composite: RES64: [3141A9C6E22674EC] (2.6964s+0.0759s)
(394^1159-1)^2-2 is composite: RES64: [F0902BC7A458FC4B] (2.6263s+0.0661s)
(394^1160+1)^2-2 is composite: RES64: [E71A819404B07FD3] (2.6480s+0.1602s)
(394^1161+1)^2-2 is composite: RES64: [406969A1170361F4] (3.0085s+0.1214s)
(394^1167-1)^2-2 is composite: RES64: [790FD6B1EF17EB3C] (4.2963s+0.0903s)
(394^1180-1)^2-2 is composite: RES64: [7601237F09DB5026] (4.0144s+0.0805s)
(394^1183-1)^2-2 is composite: RES64: [F89D42C0A67C52DE] (3.3871s+0.2426s)
(394^1188+1)^2-2 is composite: RES64: [B87D7E62CFD9B87D] (5.8957s+0.1483s)
(394^1188-1)^2-2 is composite: RES64: [04D316076B211932] (3.8578s+0.4271s)
(394^1215-1)^2-2 is composite: RES64: [746355EFDBADC15E] (2.8219s+0.1619s)
(394^1217+1)^2-2 is composite: RES64: [4842BC0C6B57C955] (3.0740s+0.1473s)
(394^1219-1)^2-2 is composite: RES64: [AE6354B7EF92C579] (2.9920s+0.2946s)
(394^1222-1)^2-2 is composite: RES64: [B66550B2902DAA90] (2.9163s+0.1288s)
(394^1238+1)^2-2 is composite: RES64: [34A3F40D8D9C711F] (2.6701s+0.2546s)
(394^1242+1)^2-2 is composite: RES64: [31ABC407BE343FF6] (2.8178s+0.0611s)
(394^1245+1)^2-2 is composite: RES64: [3D7391C6CDC81B0A] (3.3028s+0.1902s)
(394^1247+1)^2-2 is composite: RES64: [EB00DE766A6CAC8C] (2.9578s+0.3199s)
(394^1254+1)^2-2 is composite: RES64: [522946A17F6A2CC4] (3.1024s+0.1273s)
(394^1257-1)^2-2 is composite: RES64: [A6377D57CCF012E1] (2.7464s+0.1161s)
(394^1260+1)^2-2 is composite: RES64: [0BD42A1C893F1927] (3.2006s+0.0962s)
(394^1260-1)^2-2 is composite: RES64: [761DABC31A0B76C4] (3.2377s+0.0701s)
(394^1263-1)^2-2 is composite: RES64: [E3A459177F9E5067] (3.1583s+0.1104s)
(394^1279-1)^2-2 is composite: RES64: [189C03A6A93DCEDF] (2.8958s+0.0561s)
(394^1284+1)^2-2 is composite: RES64: [D0DB982A671CC642] (3.5926s+0.0986s)
(394^1287+1)^2-2 is composite: RES64: [4D5F77AFD9D5BF73] (7.3997s+0.2586s)
(394^1287-1)^2-2 is composite: RES64: [AC0AC5A20FD8E665] (3.1113s+0.3700s)
(394^1296-1)^2-2 is composite: RES64: [DD9B7DBBA834411B] (3.2103s+0.1171s)
(394^1298+1)^2-2 is composite: RES64: [26F00AF56C92B6D4] (3.0732s+0.0866s)
(394^1302+1)^2-2 is composite: RES64: [167A0E52245864F8] (3.8383s+0.0370s)
(394^1302-1)^2-2 is composite: RES64: [EEDA1F960B3AD0EF] (4.3657s+0.0882s)
(394^1315-1)^2-2 is composite: RES64: [541817DFCA86073E] (4.6130s+0.1604s)
(394^1318-1)^2-2 is composite: RES64: [C92F17B2FFCE980E] (4.3455s+0.0902s)
(394^1335-1)^2-2 is composite: RES64: [CE7A8C0D949E6F15] (4.1306s+0.1647s)
(394^1338-1)^2-2 is composite: RES64: [36907BFC34F101D8] (4.0217s+0.0797s)
(394^1345-1)^2-2 is composite: RES64: [12D6B2479729B574] (4.1722s+0.0701s)
(394^1353-1)^2-2 is composite: RES64: [0DAFAA49B8B052DA] (4.2294s+0.2737s)
(394^1355+1)^2-2 is composite: RES64: [383D1316D40726F8] (4.3254s+0.0640s)
(394^1358+1)^2-2 is composite: RES64: [385FD7F9D1FF9BCE] (6.2166s+0.1066s)
(394^1365-1)^2-2 is composite: RES64: [4B7943514FED50D4] (6.0382s+0.1161s)
(394^1368+1)^2-2 is composite: RES64: [91E326F746C249A7] (4.4936s+0.1036s)
(394^1369-1)^2-2 is composite: RES64: [46115C5900370B1F] (5.6454s+0.2100s)
(394^1374+1)^2-2 is composite: RES64: [AEAF388CDDBC6518] (6.1244s+0.1681s)
(394^1377+1)^2-2 is composite: RES64: [AB43CC45673B650F] (5.5508s+0.1664s)
(394^1385+1)^2-2 is composite: RES64: [CC308DBD4D437C78] (5.9387s+0.1203s)
(394^1386-1)^2-2 is composite: RES64: [9B4B9297B6C6EE09] (5.1378s+0.1786s)
(394^1391+1)^2-2 is composite: RES64: [82817B2AF23EA0CA] (6.6387s+0.1592s)
(394^1398-1)^2-2 is composite: RES64: [479BAB4BDE12AA4A] (5.7010s+0.3351s)
(394^1399-1)^2-2 is composite: RES64: [8F83D3C26CA02BF7] (4.2014s+0.0413s)
(394^1404+1)^2-2 is composite: RES64: [4F533D976B026196] (5.7716s+0.2703s)
(394^1412+1)^2-2 is composite: RES64: [FC3EEAD31357F0CB] (4.7467s+0.2013s)
(394^1417-1)^2-2 is composite: RES64: [2E9A4FA36305AE53] (4.5575s+0.0448s)
(394^1422-1)^2-2 is composite: RES64: [0ADF9922585FECA9] (4.2685s+0.1732s)
(394^1430+1)^2-2 is composite: RES64: [B82F99C92D3E027B] (4.7841s+0.1241s)
(394^1440+1)^2-2 is composite: RES64: [B043364509B800B7] (5.0575s+0.1122s)
(394^1442+1)^2-2 is composite: RES64: [C5192C892F7785E8] (4.4560s+0.1443s)
(394^1447-1)^2-2 is composite: RES64: [00F3541FED349153] (5.9709s+0.1552s)
(394^1450-1)^2-2 is composite: RES64: [6C20CFEFA256D327] (5.1567s+0.0642s)
(394^1452-1)^2-2 is composite: RES64: [0BFF8C8160D3E801] (5.7104s+0.1103s)
(394^1455-1)^2-2 is composite: RES64: [0EF25D0267DC3DDE] (4.9383s+0.0407s)
(394^1464+1)^2-2 is composite: RES64: [4BC56E3EDB068BA6] (4.7146s+0.2266s)
(394^1470+1)^2-2 is composite: RES64: [46D7508F24F018BC] (6.1091s+0.1503s)
(394^1473+1)^2-2 is composite: RES64: [499B89C5AB62F99D] (5.4492s+0.1014s)
(394^1487+1)^2-2 is composite: RES64: [9ACCDFE8B58588A3] (5.0094s+0.0574s)
(394^1495-1)^2-2 is composite: RES64: [75F6720E9ECD99BA] (4.9885s+0.1167s)
(394^1500-1)^2-2 is composite: RES64: [0A521FD72137B12F] (4.6938s+0.1936s)
(394^1508+1)^2-2 is composite: RES64: [3463667708EA3574] (4.9605s+0.2937s)
(394^1510-1)^2-2 is composite: RES64: [5CAA79F092480692] (5.4726s+0.1059s)
(394^1511+1)^2-2 is composite: RES64: [4FE7FD8654F8548A] (5.1949s+0.1844s)
(394^1512-1)^2-2 is composite: RES64: [97F1ADDA5C67C31D] (5.8240s+0.1018s)
(394^1525-1)^2-2 is composite: RES64: [FD498E2DC3FFBEE8] (4.7305s+0.0843s)
(394^1542-1)^2-2 is composite: RES64: [8F2B708715ED2CBE] (5.0159s+0.2817s)
(394^1545+1)^2-2 is composite: RES64: [3C240D2A1DE9156B] (6.6879s+0.2881s)
(394^1552-1)^2-2 is composite: RES64: [E5EABB9262905051] (9.3253s+0.4792s)
(394^1553+1)^2-2 is composite: RES64: [E8017EE2F448802C] (8.2115s+0.3093s)
(394^1555-1)^2-2 is composite: RES64: [13790C3BEFCF9761] (8.3871s+0.1710s)
