A generalized repunit {B,E} is an integer that can be represented in base B by a string of E 1s. It can simply be stated algebraically as (BE-1)/(B-1).

This page is a summary of the results of my search for primes of this form for bases under 1000.

I have searched 591,402 {B,E} pairs for B < 1000 and prime E and found 2,644 probable primes, of which I have completed proofs for 2,103.

In the following table, if an exponent is shown in italics, I have not yet completed a proof for that repunit. If it is in normal type, I have. If a hyperlink is shown, the repunit is a "Titanic Prime" at least 1000 decimal digits long and clicking on the link will take you to the certificate. Not all these proofs are original to me: the discoverer(s) is/are credited in the certificate.

Base	Search Limits	Primes Found	Prime for Exponent
Exponent	Prime	Digits	Proved	Probable	Total
135	3571	500	7346	1	0	1	1171
136	3571	500	7357	3	0	3	2 227 293
137	3571	500	7368	3	1	4	11 19 1009 2939
138	3571	500	7379	3	0	3	2 3 61
139	3571	500	7390	2	0	2	163 173
140	3571	500	7400	2	1	3	79 577 1721
141	3571	500	7411	3	1	4	3 23 173 3217
142	3571	500	7422	0	1	1	1231
143	3571	500	7432	2	0	2	3 5
144	2	1	3	0	0	0	-
145	3571	500	7453	2	0	2	5 31
146	3571	500	7463	2	1	3	7 83 857
147	3571	500	7473	6	2	8	3 17 19 37 163 571 983 3697
148	3571	500	7484	2	0	2	2 1201
149	3571	500	7494	4	1	5	7 13 17 317 3251
150	3571	500	7504	2	1	3	2 3 3389
151	3571	500	7514	3	1	4	13 29 127 4831
152	15787	1841	34443	0	0	0	-
153	3571	500	7533	1	0	1	3
154	3571	500	7543	1	1	2	5 8161
155	3571	500	7553	3	1	4	3 61 449 2087
156	3571	500	7562	3	0	3	2 7 199
157	3571	500	7572	2	1	3	17 107 2791
158	3571	500	7581	3	0	3	7 79 109
159	3571	500	7591	3	1	4	13 89 577 1433
160	3571	500	7600	3	1	4	7 17 151 1487
161	3571	500	7610	3	0	3	3 37 263
162	3571	500	7619	4	1	5	2 3 5 311 1087
163	3571	500	7628	3	2	5	7 43 241 1637 2543
164	3571	500	7637	6	0	6	3 5 19 101 347 383
165	3571	500	7646	3	0	3	5 53 109
166	3571	500	7655	3	1	4	2 137 353 1289
167	3571	500	7664	3	2	5	3 19 373 1213 2203
168	3571	500	7673	2	0	2	3 823
169	0	0	0	0	0	0	-
170	3571	500	7691	3	1	4	17 23 79 1237
171	3571	500	7700	1	1	2	181 3373
172	3571	500	7709	5	0	5	2 5 11 37 47
173	3571	500	7717	1	1	2	3 2687
174	3989	550	8936	0	1	1	3251
175	3571	500	7734	2	2	4	5 167 1699 5881
176	3571	500	7743	2	1	3	3 151 2719
177	3571	500	7752	2	0	2	5 31
178	3571	500	7760	2	1	3	2 347 911
179	3571	500	7768	1	0	1	19
180	3571	500	7777	3	2	5	2 7 43 1913 2683
181	3571	500	7785	3	0	3	17 19 157
182	3571	500	7793	3	0	3	167 509 1609
183	3571	500	7801	1	0	1	223
184	15287	1785	34621	0	0	0	-
185	15671	1829	35527	0	0	0	-
186	3571	500	7826	4	1	5	7 47 223 271 10177
187	3571	500	7834	2	0	2	37 617
188	3571	500	7842	2	0	2	3 59
189	3571	500	7850	2	0	2	3 17
190	3571	500	7858	6	0	6	2 13 89 157 643 673
191	3571	500	7866	1	1	2	17 1399
192	3571	500	7873	4	0	4	2 3 7 613
193	3571	500	7881	2	0	2	5 317
194	3571	500	7889	1	0	1	3
195	3571	500	7897	3	0	3	11 73 379
196	2	1	3	1	0	1	2
197	3571	500	7912	3	0	3	31 47 283
198	3571	500	7919	2	1	3	2 5 9721
199	3571	500	7927	1	1	2	577 1831
200	15091	1763	34723	0	0	0	-
201	3571	500	7942	2	0	2	271 353
202	3571	500	7949	2	0	2	37 829
203	3571	500	7957	3	0	3	3 7 31
204	3571	500	7964	2	0	2	5 359
205	3571	500	7971	2	1	3	19 61 6427
206	3571	500	7979	2	0	2	3 7
207	3571	500	7986	2	0	2	13 17
208	3571	500	7993	3	3	6	5 7 37 1229 1583 3517
209	3571	500	8000	4	0	4	3 59 449 613
210	3571	500	8008	1	0	1	2
211	3571	500	8015	1	0	1	41
212	3571	500	8022	1	0	1	11
213	3571	500	8029	1	0	1	137
214	3571	500	8036	1	0	1	191
215	3571	500	8043	3	2	5	3 73 461 751 3433
216	3	2	5	0	0	0	-
217	3571	500	8057	2	0	2	281 821
218	3571	500	8063	4	1	5	3 331 701 971 1277
219	3571	500	8070	3	1	4	13 107 223 1307
220	3571	500	8077	4	0	4	7 19 47 307
221	3571	500	8084	6	0	6	7 13 29 139 223 439
222	3571	500	8091	4	0	4	2 5 151 271
223	3571	500	8097	3	0	3	239 241 449
224	3571	500	8104	2	0	2	11 401
225	0	0	0	0	0	0	-
226	3571	500	8117	3	0	3	2 127 619
227	4409	600	10386	1	2	3	5 1061 2687
228	3571	500	8131	2	1	3	2 461 4801
229	3571	500	8137	2	0	2	11 29
230	5693	750	13443	0	1	1	5333
231	3571	500	8150	1	0	1	3
232	3571	500	8157	2	1	3	2 953 2801
233	3571	500	8163	1	0	1	113
234	3571	500	8170	3	1	4	61 89 97 1381
235	3571	500	8176	5	0	5	7 19 53 227 307
236	3571	500	8182	4	0	4	3 197 467 587
237	3571	500	8189	1	1	2	7 2621
238	3571	500	8195	4	1	5	2 7 67 1093 1381
239	3571	500	8201	2	1	3	5 109 2549
240	3571	500	8207	4	1	5	2 109 227 271 941
241	3571	500	8214	2	0	2	17 31
242	3571	500	8220	2	0	2	19 541
243	5	3	10	0	0	0	-
244	3989	550	9521	0	1	1	3331
245	3571	500	8238	1	0	1	3
246	3571	500	8244	3	0	3	3 37 251
247	3571	500	8251	2	0	2	17 331
248	3571	500	8257	2	1	3	41 197 2203
249	3571	500	8263	1	3	4	5 1249 2053 3319
250	3571	500	8269	2	1	3	2 127 1889
251	3571	500	8275	6	1	7	7 13 17 89 227 461 3467
252	3571	500	8281	2	0	2	541 947
253	3571	500	8286	1	1	2	19 2659
254	3571	500	8292	6	0	6	5 19 79 283 563 883
255	3571	500	8298	3	0	3	5 151 701
256	2	1	3	1	0	1	2
257	3571	500	8310	4	0	4	23 59 487 967
258	3571	500	8316	2	1	3	11 31 1433
259	3571	500	8322	0	2	2	2011 3001
260	3571	500	8327	6	1	7	5 13 109 149 239 499 3191
261	3571	500	8333	2	1	3	31 37 3121
262	3571	500	8339	2	0	2	2 197
263	3571	500	8345	2	0	2	5 19
264	3571	500	8350	2	1	3	7 13 6469
265	3571	500	8356	2	1	3	5 241 3469
266	3571	500	8361	3	0	3	3 7 113
267	3571	500	8367	2	3	5	13 251 1109 3463 4447
268	3571	500	8373	5	1	6	2 11 19 29 47 3449
269	14797	1734	35951	0	0	0	-
270	3571	500	8384	2	3	5	2 241 3187 3469 4421
271	3571	500	8389	4	3	7	41 79 97 313 709 829 1213
272	3571	500	8395	3	0	3	3 11 53
273	3571	500	8400	1	0	1	37
274	3571	500	8406	2	0	2	5 17
275	3571	500	8411	4	0	4	5 23 317 881
276	3571	500	8417	2	0	2	2 31
277	3571	500	8422	3	1	4	5 19 109 1621
278	3571	500	8428	2	1	3	3 47 4261
279	3571	500	8433	2	0	2	3 47
280	3571	500	8438	2	1	3	2 7 1019
281	11807	1415	28910	0	0	0	-
282	3571	500	8449	4	1	5	2 7 13 1201 2621
283	3571	500	8454	3	0	3	29 31 719
284	3571	500	8460	0	1	1	2473
285	3571	500	8465	3	0	3	5 37 53
286	3571	500	8470	2	0	2	13 487
287	3571	500	8475	2	0	2	3 23
288	3571	500	8480	4	0	4	3 5 47 283
289	0	0	0	0	0	0	-
290	3571	500	8491	2	0	2	3 7
291	3571	500	8496	2	0	2	13 163
292	3571	500	8501	2	2	4	2 5 1019 3221
293	3571	500	8506	2	1	3	3 31 6301
294	3571	500	8511	3	0	3	7 59 269
295	3571	500	8516	3	0	3	17 23 73
296	3571	500	8522	1	1	2	41 2549
297	3571	500	8527	1	1	2	17 2089
298	3571	500	8532	1	0	1	53
299	3571	500	8537	2	0	2	113 383
300	3571	500	8542	1	1	2	7 839
301	3571	500	8547	1	0	1	193
302	3571	500	8552	2	0	2	37 101
303	3571	500	8557	3	0	3	7 19 173
304	3571	500	8561	4	0	4	5 67 179 479
305	3571	500	8566	1	0	1	617
306	3571	500	8571	1	0	1	2
307	3571	500	8576	2	0	2	53 1201
308	3571	500	8581	1	0	1	5
309	3571	500	8586	1	1	2	3 2897
310	3571	500	8591	2	0	2	2 43
311	14543	1703	36250	0	0	0	-
312	3571	500	8600	1	1	2	2 3373
313	3571	500	8605	2	1	3	109 173 1193
314	3571	500	8610	2	2	4	3 67 1663 1721
315	3571	500	8615	4	1	5	17 19 23 67 7129
316	3571	500	8619	4	1	5	2 41 307 1801 1861
317	3571	500	8624	1	1	2	157 6529
318	3571	500	8629	0	1	1	1193
319	3571	500	8634	3	0	3	11 13 149
320	3571	500	8638	3	2	5	7 31 37 1549 1571
321	3571	500	8643	1	0	1	647
322	3571	500	8648	1	1	2	227 2137
323	3571	500	8652	2	0	2	283 619
324	2	1	3	0	0	0	-
325	3571	500	8661	1	1	2	31 1039
326	17291	1987	43454	0	0	0	-
327	3571	500	8671	2	0	2	5 17
328	3571	500	8675	1	0	1	67
329	3571	500	8680	1	0	1	3
330	3571	500	8684	4	0	4	2 79 241 1009
331	6997	900	17629	0	0	0	-
332	3571	500	8693	5	1	6	3 19 43 67 101 2179
333	10177	1250	25669	0	1	1	9743
334	3571	500	8702	2	0	2	79 113
335	3571	500	8707	4	1	5	17 73 197 593 3217
336	3571	500	8711	4	2	6	2 3 61 463 1103 1151
337	3571	500	8716	2	1	3	5 19 2099
338	3571	500	8720	2	0	2	157 277
339	3571	500	8725	3	0	3	11 97 571
340	3571	500	8729	1	3	4	5 659 887 6361
341	3571	500	8733	2	0	2	7 2053
342	3571	500	8738	2	1	3	3 109 811
343	3	2	6	0	0	0	-
344	3571	500	8747	2	0	2	3 23
345	3571	500	8751	2	0	2	103 613
346	3571	500	8755	2	0	2	2 67
347	3571	500	8760	2	1	3	337 401 3331
348	3571	500	8764	3	2	5	2 3 383 1223 6553
349	3571	500	8768	3	0	3	7 17 107
350	3571	500	8772	2	0	2	7 227
351	3571	500	8777	2	0	2	3 17
352	3571	500	8781	2	0	2	2 5
353	3571	500	8785	1	0	1	7
354	3571	500	8789	3	0	3	79 211 307
355	3571	500	8794	4	1	5	11 13 17 137 1109
356	3571	500	8798	1	0	1	419
357	3571	500	8802	1	0	1	3
358	3571	500	8806	2	0	2	2 1499
359	3571	500	8810	4	0	4	5 59 101 383
360	3571	500	8815	0	1	1	2609
361	0	0	0	0	0	0	-
