1,E
103,EEEEEEE00000000000000EEEEEEE00000000000000EEEEEEEEEEEEEE0000000EEEEEEEEEEEEEE0000001
104,EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE01
105,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
106,100000EEEEEEEEEXEEEEXEEEEE000000000100001
107,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
108,EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0001
109,EEE000000EEE000000EEE000000EEE000000EEE000000EEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE001
10X,10EEEEEXXEEXE0110010EE00EXE00EE00EXE00EE0110010EXXEEXE0000011
10E,E0000E0000E0000E0000E0000E0000EE000EE000EE000EE000EE000EE000EEE00EEE00EEE00EEE00EEE00EEE00EEEE0EEEE0EEEE0EEEE0EEEE0EEEE1
110,100EEEXEE000100EEEXEE0000EEEXEE000100EEEXEE000101
111,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
112,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
113,E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
114,EEEEEEEEEEEEEEEE0000000000000000EEEEEEEEEEEEEEEE0000000000000001
115,E000000E000000E000000E0E0000E0E0000E0E0000E0E0E00E0E0E00E0E0E00E0E0E0EE0E0E0EE0E0E0EE0E0E0EEEE0E0EEEE0E0EEEE0E0EEEEEE0EEEEEE0EEEEEE1
116,EEEEEEEEEEEEEEEEEEEEEEEEEEE000000000000000000000000001
117,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
118,EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE01
119,110EEXXXEEEXXE01220EXXXEEEXXE012220EXXXXXXXXE012220EXXXEEEXXE01220EXXXEEEXXE00111
11X,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
11E,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
120,10000EEEEEEEXEEEE00000000EEEEEEEXEEEE000000010001
121,1000000000000100000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001
122,10EEEXE00010EEEXXXE01110EXXXE011110EXXXE01110EXXXE00010EEEXE00011
123,EEE000000EEE000000EEE000000EEE000000EEE000000EEE000000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE001
124,EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE01
125,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
126,10EXE010EXE010EXE010EXE010EXXE010EXE010EXE010EXE010EXE011
127,EEEEE00000000000000000000EEEEE00000EEEEE0000000000EEEEE00000EEEEE00000EEEEEEEEEE00000EEEEE00000EEEEEEEEEEEEEEEEEEEE00001
128,EEEEEEEE00000000EEEEEEEE00000000EEEEEEEE00000000EEEEEEEE00000000EEEEEEEE00000001
129,E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
12X,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
12E,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
130,1000000EEEEEEEEEEEXEEEEEXEEEEEE000000000001000001
131,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
132,10EEEEEXXEEEEE0100000EE0001000EEEXEEXEEE0001000EEEE0100000EXEEEEXE0000011
133,E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
134,EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0000EEEE0001
135,E0000E0000E0000E0000E0000E0000E0000E0E00E0E00E0E00E0E00E0E00E0E00E0E00E0E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0E0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE1
136,10EXE010EXE010EXE010EXE010EXE00EXE010EXE010EXE010EXE010EXE011
137,E0000000000E00000E0000E00000E0000EE0000E0000EE0000EE000EE0000EE000EEE000EE000EEE000EEE00EEE000EEE00EEEE00EEE00EEEE00EEEE0EEEE00EEEE0EEEEE0EEEE0EEEEE0EEEEEEEEEE1
138,EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE01
139,EEEEEEEEE000000000000000000EEEEEEEEE000000000000000000EEEEEEEEEEEEEEEEEE000000000EEEEEEEEEEEEEEEEEE000000001
13X,10EEEXE00010EEEXXEEE01000EXEEE01000EE01000EXEEE01000EXEEXE00010EEEXE00011
13E,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
140,EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE00000000000000000000000000000001
141,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
142,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
143,110EEXXXEEEEEXE01110EXXEEEEEXE01110EXE0110EX9E0110EX9E0110EXE01110EXXEEEEEXE01110EXXEEEEEXXE00111
144,EEEEEEEEEEEEEE00000000000000EEEEEEEEEEEEEE00000000000000EEEEEEEEEEEEEE00000000000001
145,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
146,1000EEEEEXEEE000001000EEEEEXEEXEEE000001000EEEEEXEEE000001001
147,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
148,EEEEEEEEEEEEEEEEEEEE00000000000000000000EEEEEEEEEEEEEEEEEEEE00000000000000000001
149,E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
14X,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
14E,E000000E000000E000000E000000EE00000EE00000EE00000EE00000EEE0000EEE0000EEE0000EEE0000EEEE000EEEE000EEEE000EEEE000EEEEE00EEEEE00EEEEE00EEEEE00EEEEEE0EEEEEE0EEEEEE0EEEEEE1
150,100EEEXEE000100EEEXEE000100EEEXEXEE000100EEEXEE000100EEEXEE000101
151,E0000E0000E0000E0000E0000E0000E0000E0000EE000EE000EE000EE000EE000EE000EE000EE000EEE00EEE00EEE00EEE00EEE00EEE00EEE00EEE00EEEE0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE1
152,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
153,EEE000000EEE000000EEE000000EEE000000EEE000000EEE000000EEE000000EEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE000EEEEEE001
154,EEEEEEEE00000000EEEEEEEE00000000EEEEEEEE00000000EEEEEEEE00000000EEEEEEEE00000000EEEEEEEE00000001
155,E0000000000E0000000E00E0000000E00E0000E00E00E0000E00E00E0E00E00E00E0E00E00E0EE0E00E00E0EE0E00E0EE0EE0E00E0EE0EE0E0EE0EE0EE0E0EE0EE0EEEE0EE0EE0EEEE0EE0EEEEEEE0EE0EEEEEEE0EEEEEEEEEE1
156,E1000E1E1000E0E0XEEXEXEXEXEXEEE0E0E1000E1E1000E1
157,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
158,EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE00EE01
159,E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
15X,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
15E,E0000E0000E0000E0000E0000E0000E0000E0000E00E0E00E0E00E0E00E0E00E0E00E0E00E0E00E0E00E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0E0EE0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE0EEEE1
160,EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE000000000000000000000000000000000001
161,E000000E000000E000000E000000E00E000E00E000E00E000E00E000E00E00EE00E00EE00E00EE00E00EE00E00EE0EE00EE0EE00EE0EE00EE0EE00EE0EE0EEE0EE0EEE0EE0EEE0EE0EEE0EE0EEEEEE0EEEEEE0EEEEEE0EEEEEE1
162,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
163,E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00E00EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE0EE1
164,100EEEEEEEXEE00000000EEEXEEEEEE0001000001000000EEEXEEEEEE0000EEEEEEEXEE0000000101
165,E000000000000E000E00000000E000E000E0000E000E000E000EE000E000E000EE00EE000E000EE00EE00EE000EE00EE00EE00EEE00EE00EE00EEE0EEE00EE00EEE0EEE0EEE00EEE0EEE0EEE0EEEE0EEE0EEE0EEEEEEEE0EEE0EEEEEEEEEEEE1
166,10EXE010EXE010EXE010EXE010EXE010EXE00EXE010EXE010EXE010EXE010EXE010EXE011
167,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
168,EEEEEEEEEEEEEEEE0000000000000000EEEEEEEEEEEEEEEE0000000000000000EEEEEEEEEEEEEEEE0000000000000001
169,EEEEEEEEEEEEEEE000000000000000000000000000000EEEEEEEEEEEEEEE000000000000000EEEEEEEEEEEEEEEEEEEEEEEEEEEEEE000000000000001
16X,E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E0E1
16E,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
170,100EEEXEE000100EEEXEE000100EEEXEE0000EEEXEE000100EEEXEE000100EEEXEE000101
171,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
172,10EEEXE00010EEEXE00010EXXXE01110EXXXE01110EXXE01110EXXXE01110EXXXE010EEEXE00010EEEXE00011
173,110EEEEXXXEXXE0000111110EEEEXXXEE00100010000EXXEEXE010001000100010000EXXEEXE0100010000EEXEXXE0000111110EEEEXXXEXXE0000111
