62: [2,4,8,14,28,55,49,35,8,14,28,55,49,35,8,14,28,55,49,35,8,14,28,54]
63: [9,24,9,24,9,24,9,24,9,24,9,24,9,24,9,24,9,24,9,24,9,24,9,20]
64: [4,14,57,36,14,57,36,14,57,36,14,57,36,14,57,36,14,57,36,14,57,36,14,52]
65: [7,45,59,1E,7,45,59,1E,7,45,59,1E,7,45,59,1E,7,45,59,1E,7,45,59,13]
66: [6,32,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,59]
67: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
68: [17,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,48]
69: [X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X]
6X: [2,4,8,14,28,55,41,14,28,55,41,14,28,55,41,14,28,55,41,14,28,55,41,12]
6E: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
70: [11,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,6E,57]
71: [5,22,3E,59,5,22,3E,59,5,22,3E,59,5,22,3E,59,5,22,3E,59,5,22,3E,53]
72: [2,4,8,14,28,55,39,4,8,14,28,55,39,4,8,14,28,55,39,4,8,14,28,53]
73: [3,9,23,6E,65,4E,3,9,23,6E,65,4E,3,9,23,6E,65,4E,3,9,23,6E,65,46]
74: [8,5X,2E,15,44,5X,2E,15,44,5X,2E,15,44,5X,2E,15,44,5X,2E,15,44,5X,2E,6]
75: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
76: [1X,38,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,56]
77: [7,45,7,45,7,45,7,45,7,45,7,45,7,45,7,45,7,45,7,45,7,45,7,3X]
78: [4,14,56,6E,4X,42,14,56,6E,4X,42,14,56,6E,4X,42,14,56,6E,4X,42,14,56,66]
79: [3,9,23,6E,55,9,23,6E,55,9,23,6E,55,9,23,6E,55,9,23,6E,55,9,23,6X]
7X: [2,4,8,14,28,55,30,61,45,10,20,41,4,8,14,28,55,30,61,45,10,20,41,2]
7E: [5,22,30,75,58,4X,5,22,30,75,58,4X,5,22,30,75,58,4X,5,22,30,75,58,42]
80: [17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14]
81: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
82: [8,14,28,55,28,55,28,55,28,55,28,55,28,55,28,55,28,55,28,55,28,55,28,53]
83: [9,75,9,75,9,75,9,75,9,75,9,75,9,75,9,75,9,75,9,75,9,75,9,68]
84: [10,41,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,7X]
85: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
86: [6,32,21,42,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,7X]
87: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
88: [8,59,2X,59,2X,59,2X,59,2X,59,2X,59,2X,59,2X,59,2X,59,2X,59,2X,59,2X,4E]
89: [15,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2X]
8X: [2,4,8,14,28,55,20,40,81,75,61,34,69,49,8,14,28,55,20,40,81,75,61,33]
8E: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
90: [15,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,8E,87]
91: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
92: [X,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,83]
93: [3,9,23,6E,23,6E,23,6E,23,6E,23,6E,23,6E,23,6E,23,6E,23,6E,23,6E,23,67]
94: [16,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,49]
95: [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]
96: [6,31,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,8X]
97: [5,22,13,66,3E,5,22,13,66,3E,5,22,13,66,3E,5,22,13,66,3E,5,22,13,61]
98: [4,14,56,29,14,56,29,14,56,29,14,56,29,14,56,29,14,56,29,14,56,29,14,51]
99: [9,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,67]
9X: [2,4,8,14,28,55,10,20,40,81,65,30,61,24,48,95,91,85,71,44,89,79,59,16]
